codigo;elemento;anno;variables;tipo;monto
1;Total, all countries or areas;1995;Imports CIF (millions of US dollars);mundo;50990573274
1;Total, all countries or areas;2005;Imports CIF (millions of US dollars);mundo;105770128460
1;Total, all countries or areas;2010;Imports CIF (millions of US dollars);mundo;152751152946
1;Total, all countries or areas;2015;Imports CIF (millions of US dollars);mundo;164653585970
1;Total, all countries or areas;2017;Imports CIF (millions of US dollars);mundo;177328182363
1;Total, all countries or areas;2018;Imports CIF (millions of US dollars);mundo;194977878446
1;Total, all countries or areas;2019;Imports CIF (millions of US dollars);mundo;189643569693
1;Total, all countries or areas;1995;Exports FOB (millions of US dollars);mundo;50502379273
1;Total, all countries or areas;2005;Exports FOB (millions of US dollars);mundo;103734445119
1;Total, all countries or areas;2010;Exports FOB (millions of US dollars);mundo;151022183375
1;Total, all countries or areas;2015;Exports FOB (millions of US dollars);mundo;163616796152
1;Total, all countries or areas;2017;Exports FOB (millions of US dollars);mundo;174823221862
1;Total, all countries or areas;2018;Exports FOB (millions of US dollars);mundo;191323770850
1;Total, all countries or areas;2019;Exports FOB (millions of US dollars);mundo;187233557314
1;Total, all countries or areas;1995;Balance imports/exports (millions of US dollars);mundo;-488194001
1;Total, all countries or areas;2005;Balance imports/exports (millions of US dollars);mundo;-2035683341
1;Total, all countries or areas;2010;Balance imports/exports (millions of US dollars);mundo;-1728969571
1;Total, all countries or areas;2015;Balance imports/exports (millions of US dollars);mundo;-1036789818
1;Total, all countries or areas;2017;Balance imports/exports (millions of US dollars);mundo;-2504960501
1;Total, all countries or areas;2018;Balance imports/exports (millions of US dollars);mundo;-3654107596
1;Total, all countries or areas;2019;Balance imports/exports (millions of US dollars);mundo;-2410012378
2;Africa;1995;Imports CIF (millions of US dollars);continente;1143520137
2;Africa;2005;Imports CIF (millions of US dollars);continente;2462275602
2;Africa;2010;Imports CIF (millions of US dollars);continente;4684350433
2;Africa;2015;Imports CIF (millions of US dollars);continente;5482149554
2;Africa;2017;Imports CIF (millions of US dollars);continente;5037159867
2;Africa;2018;Imports CIF (millions of US dollars);continente;5587982652
2;Africa;2019;Imports CIF (millions of US dollars);continente;5782836057
2;Africa;1995;Exports FOB (millions of US dollars);continente;1034596874
2;Africa;2005;Exports FOB (millions of US dollars);continente;3066559653
2;Africa;2010;Exports FOB (millions of US dollars);continente;4965939684
2;Africa;2015;Exports FOB (millions of US dollars);continente;4037421381
2;Africa;2017;Exports FOB (millions of US dollars);continente;3991776093
2;Africa;2018;Exports FOB (millions of US dollars);continente;4491362312
2;Africa;2019;Exports FOB (millions of US dollars);continente;4570609325
2;Africa;1995;Balance imports/exports (millions of US dollars);continente;-108923263
2;Africa;2005;Balance imports/exports (millions of US dollars);continente;604284050
2;Africa;2010;Balance imports/exports (millions of US dollars);continente;281589251
2;Africa;2015;Balance imports/exports (millions of US dollars);continente;-1444728173
2;Africa;2017;Balance imports/exports (millions of US dollars);continente;-1045383775
2;Africa;2018;Balance imports/exports (millions of US dollars);continente;-1096620340
2;Africa;2019;Balance imports/exports (millions of US dollars);continente;-1212226732
15;Northern Africa;1995;Imports CIF (millions of US dollars);;450619889
15;Northern Africa;2005;Imports CIF (millions of US dollars);;875707780
15;Northern Africa;2010;Imports CIF (millions of US dollars);;1811466646
15;Northern Africa;2015;Imports CIF (millions of US dollars);;2055591328
15;Northern Africa;2017;Imports CIF (millions of US dollars);;1944942575
15;Northern Africa;2018;Imports CIF (millions of US dollars);;2174609351
15;Northern Africa;2019;Imports CIF (millions of US dollars);;2120614807
15;Northern Africa;1995;Exports FOB (millions of US dollars);;330429418
15;Northern Africa;2005;Exports FOB (millions of US dollars);;1141040529
15;Northern Africa;2010;Exports FOB (millions of US dollars);;1655438400
15;Northern Africa;2015;Exports FOB (millions of US dollars);;1088454706
15;Northern Africa;2017;Exports FOB (millions of US dollars);;1079631658
15;Northern Africa;2018;Exports FOB (millions of US dollars);;1199032662
15;Northern Africa;2019;Exports FOB (millions of US dollars);;1146363118
15;Northern Africa;1995;Balance imports/exports (millions of US dollars);;-120190472
15;Northern Africa;2005;Balance imports/exports (millions of US dollars);;265332749
15;Northern Africa;2010;Balance imports/exports (millions of US dollars);;-156028246
15;Northern Africa;2015;Balance imports/exports (millions of US dollars);;-967136622
15;Northern Africa;2017;Balance imports/exports (millions of US dollars);;-865310916
